tweet_id,favorites,retweets,user_followers,user_favourites,date_time
873337748698140672,0,1473,8774394,146004,2017-06-10 00:35:19+00:00
873213775632977920,6773,1473,8774394,146004,2017-06-09 16:22:42+00:00
872967104147763200,25797,5004,8774394,146004,2017-06-09 00:02:31+00:00
872820683541237760,13935,3438,8774394,146004,2017-06-08 14:20:41+00:00
872620804844003328,19586,3369,8774394,146004,2017-06-08 01:06:27+00:00
872486979161796608,38563,8349,8773688,146003,2017-06-07 16:14:40+00:00
872122724285648897,32498,7488,8774394,146004,2017-06-06 16:07:15+00:00
871879754684805121,35598,10178,8773688,146003,2017-06-06 00:01:46+00:00
871762521631449091,19155,3233,8774394,146004,2017-06-05 16:15:56+00:00
871515927908634625,19118,3224,8774394,146004,2017-06-04 23:56:03+00:00
871166179821445120,0,5291,8773688,146003,2017-06-04 00:46:17+00:00
871102520638267392,19832,5116,8774394,146004,2017-06-03 20:33:19+00:00
871032628920680449,21569,3552,8773688,146003,2017-06-03 15:55:36+00:00
870804317367881728,31897,5744,8774394,146004,2017-06-03 00:48:22+00:00
870726314365509632,115,3,8773688,146003,2017-06-02 19:38:25+00:00
870656317836468226,11735,2454,8774394,146004,2017-06-02 15:00:16+00:00
870374049280663552,78730,24601,8774394,146004,2017-06-01 20:18:38+00:00
870308999962521604,20811,3865,8773688,146003,2017-06-01 16:00:09+00:00
870063196459192321,34699,7738,8773688,146003,2017-05-31 23:43:25+00:00
869772420881756160,40395,9406,8774394,146004,2017-05-31 04:27:59+00:00
869702957897576449,26851,5873,8774394,146004,2017-05-30 23:51:58+00:00
869596645499047938,15175,2910,8774394,146004,2017-05-30 16:49:31+00:00
869227993411051520,19423,3525,8773688,146003,2017-05-29 16:24:37+00:00
868880397819494401,62232,13466,8774394,146004,2017-05-28 17:23:24+00:00
868639477480148993,0,1938,8773688,146003,2017-05-28 01:26:04+00:00
868622495443632128,25420,4951,8773688,146003,2017-05-28 00:18:35+00:00
868552278524837888,9605,1938,8774394,146004,2017-05-27 19:39:34+00:00
867900495410671616,23062,3910,8773688,146003,2017-05-26 00:29:37+00:00
867774946302451713,32390,6878,8773688,146003,2017-05-25 16:10:44+00:00
867421006826221569,15336,2330,8774394,146004,2017-05-24 16:44:18+00:00
867072653475098625,0,112,8774394,146004,2017-05-23 17:40:04+00:00
867051520902168576,30736,7383,8773688,146003,2017-05-23 16:16:06+00:00
866720684873056260,19126,4493,8773688,146003,2017-05-22 18:21:28+00:00
866686824827068416,18415,3274,8774394,146004,2017-05-22 16:06:55+00:00
866450705531457537,116705,33052,8773688,146003,2017-05-22 00:28:40+00:00
866334964761202691,50078,13386,8773688,146003,2017-05-21 16:48:45+00:00
866094527597207552,0,7870,8773688,146003,2017-05-21 00:53:21+00:00
865718153858494464,24521,5284,8773688,146003,2017-05-19 23:57:46+00:00
865359393868664832,25311,4708,8774394,146004,2017-05-19 00:12:11+00:00
